lon,lat,q,dist_gem_km,dist_pb_km,dist_min_km
114.24416,-8.06034,4760.0,333.5787290572699,332.1999425826735,332.1999425826735
114.24409,-8.06048,21080.0,333.5616227541832,332.1831076862414,332.1831076862414
114.24403,-8.0605,109480.0,333.5579046190281,332.17975749498663,332.17975749498663
114.24488,-8.06034,59500.0,333.59709096539297,332.21355354348236,332.21355354348236
114.24468,-8.06074,15980.0,333.5482132664035,332.165453825149,332.165453825149
114.24466,-8.0607,10880.0,333.5520805690325,332.16950763446437,332.16950763446437
114.2445,-8.06058,35360.0,333.5611320868098,332.1797786485592,332.1797786485592
114.24423,-8.06033,7820.0,333.58160786664746,332.2023738423661,332.2023738423661
114.24429,-8.06025,5440.0,333.59189283468584,332.21237186280047,332.21237186280047
114.24419,-8.06005,2720.0,333.6112322536809,332.23264087816017,332.23264087816017
114.24427,-8.06099,5780.0,333.51039615220077,332.1300038069522,332.1300038069522
-112.1,38.6383,3400.0,115.16741550993353,812.4541441875718,115.16741550993353
-112.1,38.635,3350.0,114.78540464661288,812.0733571851791,114.78540464661288
-113.57,38.565,2351.0,127.46633109146873,713.4522212554472,127.46633109146873
-127.785,47.7142,2350.0,151.4055134605866,128.3688471666277,128.3688471666277
-127.785,47.715,3082.0,151.3216539123681,128.36673150268194,128.36673150268194
-127.786,47.7132,2662.0,151.59649288711765,128.2603817007297,128.2603817007297
-127.786,47.7132,4037.0,151.59649288711765,128.2603817007297,128.2603817007297
-127.785,47.715,3144.0,151.3216539123681,128.36673150268194,128.36673150268194
-127.7847,47.7163,2022.0,151.15966044562683,128.39697717795386,128.39697717795386
14.7235,72.0063,2959.0,887.056294912358,886.9189507548022,886.9189507548022
14.7252,72.0056,2624.0,887.3638575110714,887.2265022870234,887.2265022870234
14.7287,72.0042,2550.0,887.987460761628,887.8500845782161,887.8500845782161
14.7304,72.0034,2050.0,888.3183648930334,888.1809733168263,888.1809733168263
14.7199,72.0042,2077.0,887.2414347826445,887.1039578216256,887.1039578216256
14.7287,72.0043,2225.0,887.9641185794501,887.8267467535958,887.8267467535958
14.7287,72.0033,2354.0,888.1975729286155,888.0601575444514,888.0601575444514
14.7287,72.0024,2069.0,888.4077436043366,888.2702890504838,888.2702890504838
14.7287,72.0015,2158.0,888.617972731152,888.4804790386504,888.4804790386504
14.7205,72.0057,2215.0,886.9419546199053,886.8045499086146,886.8045499086146
14.7204,72.0033,3212.0,887.4940892042752,887.3565787883923,887.3565787883923
14.7203,72.0021,3102.0,887.7660812641919,887.6285175067643,887.6285175067643
14.7308,72.0028,2002.0,888.4923576764616,888.354944555321,888.354944555321
127.1966667,27.57666667,2823.0,158.24549670278574,19.326648676645487,19.326648676645487
140.6435,28.5718,27520.0,238.62043960969243,238.62969307112132,238.62043960969243
140.644,28.572,7482.0,238.55966744936998,238.56891903143244,238.55966744936998
140.6436,28.5711,23048.0,238.63730479409736,238.6465822471047,238.63730479409736
140.6436,28.5711,11610.0,238.63730479409736,238.6465822471047,238.63730479409736
140.6436,28.5711,22360.0,238.63730479409736,238.6465822471047,238.63730479409736
140.6435,28.571,2408.0,238.65181214587395,238.6610919504753,238.65181214587395
140.6447,28.5723,3440.0,238.47380207983534,238.48305037217884,238.47380207983534
140.6441,28.5715,3354.0,238.5686895519115,238.5779585398031,238.5686895519115
140.6432,28.5718,4214.0,238.65219700309245,238.66144764064654,238.65219700309245
140.6428,28.5712,10320.0,238.71806961879534,238.72733624858114,238.71806961879534
140.6425,28.5714,3087.0,238.7419838856043,238.7512411057285,238.7419838856043
140.6432,28.5714,16168.0,238.6678833010013,238.67714711016671,238.6678833010013
140.6447,28.5714,105436.0,238.509096333996,238.51837426253536,238.509096333996
140.6434,28.5715,86000.0,238.64279013651446,238.65205253536485,238.64279013651446
140.6449,28.5714,9718.0,238.48792473839364,238.49720454951614,238.48792473839364
140.6439,28.5715,72842.0,238.5898611475121,238.5991282528205,238.5898611475121
140.6441,28.5717,81700.0,238.56084640295717,238.5701088050432,238.56084640295717
140.6441,28.5717,120744.0,238.56084640295717,238.5701088050432,238.56084640295717
140.6441,28.5717,44204.0,238.56084640295717,238.5701088050432,238.56084640295717
140.6442,28.5723,2150.0,238.5267310688359,238.53597465472146,238.5267310688359
140.6443,28.5721,3440.0,238.52398846472278,238.53323957774313,238.52398846472278
140.6451,28.5725,3440.0,238.4236156800399,238.43286115169408,238.4236156800399
140.6454,28.5726,2580.0,238.38793667675228,238.39718167934873,238.38793667675228
127.08,27.265,3460.0,131.63717630417725,0.7675956187629785,0.7675956187629785
127.0847,27.2652,3980.0,131.33611616296807,1.0505644814886137,1.0505644814886137
127.0855,27.2667,3090.0,131.43032180506157,0.9491549635234892,0.9491549635234892
127.0875,27.268,2380.0,131.42352131411354,0.9456076207332966,0.9456076207332966
127.0888,27.2692,2110.0,131.45470995200145,0.9070786951196647,0.9070786951196647
127.0848,27.2632,4100.0,131.13129081867166,1.2610798319086738,1.2610798319086738
127.091,27.2677,3100.0,131.15669603797858,1.20213532571664,1.20213532571664
127.0868,27.2678,2670.0,131.45114869191062,0.9208308328867596,0.9208308328867596
127.0832,27.2642,25200.0,131.3394170859616,1.0557733857067968,1.0557733857067968
127.0828,27.2628,8080.0,131.2283056764584,1.1727957232470811,1.1727957232470811
127.0828,27.2657,4090.0,131.51513362059796,0.8769077761292676,0.8769077761292676
127.0805,27.2622,21700.0,131.3264569688084,1.0855528081173287,1.0855528081173287
127.0792,27.2617,3410.0,131.36627829517087,1.0526546588044436,1.0526546588044436
127.0685,27.2517,5600.0,131.12571689179805,1.3822262272338401,1.3822262272338401
127.0788,27.2623,20900.0,131.45289088752557,0.965618545611034,0.965618545611034
127.08,27.2655,7200.0,131.68658041495544,0.7165799966066332,0.7165799966066332
127.0823,27.2662,72000.0,131.59872392127988,0.7936178876358414,0.7936178876358414
127.0823,27.2662,61000.0,131.59872392127988,0.7936178876358414,0.7936178876358414
127.0823,27.2662,66000.0,131.59872392127988,0.7936178876358414,0.7936178876358414
127.0823,27.2662,42000.0,131.59872392127988,0.7936178876358414,0.7936178876358414
127.0749,27.2663,31000.0,132.1149512923432,0.30576028376186465,0.30576028376186465
127.0793,27.2647,3460.0,131.65545004073158,0.7530213587710319,0.7530213587710319
34.98,44.2833,2500.0,283.7832259016426,478.509301403999,283.7832259016426
-123.515,50.5683,2530.0,324.6861141592453,517.6576019814645,324.6861141592453
-0.6383,43.42,6390.0,179.82929986659778,1047.1839225601923,179.82929986659778
-114.04808,31.0446,3184.0,110.83968407926483,33.15979425031497,33.15979425031497
-114.04808,31.0446,3184.0,110.83968407926483,33.15979425031497,33.15979425031497
-114.04266,31.046,2372.0,111.007168797105,33.76571962025092,33.76571962025092
-114.04266,31.046,2372.0,111.007168797105,33.76571962025092,33.76571962025092
-114.04808,31.0446,3184.0,110.83968407926483,33.15979425031497,33.15979425031497
-114.04808,31.0446,3184.0,110.83968407926483,33.15979425031497,33.15979425031497
-114.04808,31.0446,3184.0,110.83968407926483,33.15979425031497,33.15979425031497
-114.04266,31.046,2372.0,111.007168797105,33.76571962025092,33.76571962025092
-114.04266,31.046,2372.0,111.007168797105,33.76571962025092,33.76571962025092
-114.04266,31.046,2372.0,111.007168797105,33.76571962025092,33.76571962025092
-114.0,30.842,2053.0,111.471712806711,23.447127553881415,23.447127553881415
-127.785,47.7142,3800.0,151.4055134605866,128.3688471666277,128.3688471666277
-127.786,47.7103,8900.0,151.9011861996742,128.2698204458578,128.2698204458578
-127.7871,47.7099,2490.0,152.03776983800117,128.14884145701882,128.14884145701882
-127.7893,47.7101,4890.0,152.20585310275092,127.9032707308815,127.9032707308815
-127.7891,47.7101,2160.0,152.18865376338778,127.92552930840758,127.92552930840758
-127.7885,47.71,2270.0,152.1475733613525,127.99266756167256,127.99266756167256
-127.7876,47.7101,2990.0,152.05970061393538,128.0924686988337,128.0924686988337
-127.7858,47.7102,17900.0,151.8945298881847,128.2924365753923,128.2924365753923
-127.7847,47.7099,2260.0,151.83166709865066,128.41594324178297,128.41594324178297
-127.7871,47.7096,4180.0,152.06933346380333,128.14994686931126,128.14994686931126
-127.7873,47.7101,9210.0,152.03391886613082,128.12585658937846,128.12585658937846
-127.7864,47.7099,66300.0,151.97763689597951,128.22674611626698,128.22674611626698
-127.7862,47.7099,14400.0,151.96045902409983,128.2490045945749,128.2490045945749
-127.786,47.71,18900.0,151.93275682590894,128.2708992195324,128.2708992195324
-127.7866,47.7131,4570.0,151.65863264246798,128.1938963689791,128.1938963689791
-127.787,47.7092,12200.0,152.10284576843154,128.16257963581944,128.16257963581944
-127.7868,47.7093,425000.0,152.07514401328766,128.18445861410217,128.18445861410217
-127.7867,47.7093,3370.0,152.0665571601587,128.1955876575904,128.1955876575904
-127.7863,47.7097,11200.0,151.99009867432642,128.23860965261503,128.23860965261503
-127.7864,47.7098,72700.0,151.988161214997,128.22711223051485,128.22711223051485
-127.7862,47.71,14300.0,151.94993456737637,128.2486406761917,128.2486406761917
-127.7853,47.7085,2670.0,152.0307026416324,128.3544823569518,128.3544823569518
-127.7864,47.71,190000.0,151.96711362890667,128.22638213471217,128.22638213471217
-127.7862,47.7101,6240.0,151.93941116278359,128.2482788901623,128.2482788901623
-127.7864,47.7098,41900.0,151.988161214997,128.22711223051485,128.22711223051485
-127.785,47.7114,9400.0,151.69955610714453,128.37732608477776,128.37732608477776
-127.786,47.7101,32600.0,151.92223223144208,128.27053749628305,128.27053749628305
-127.786,47.71,154000.0,151.93275682590894,128.2708992195324,128.2708992195324
-127.7863,47.71,26000.0,151.9585239331593,128.23751140522225,128.23751140522225
-127.7863,47.71,180000.0,151.9585239331593,128.23751140522225,128.23751140522225
-127.7863,47.71,25400.0,151.9585239331593,128.23751140522225,128.23751140522225
-127.7861,47.7102,3260.0,151.9202985849284,128.25904857055377,128.25904857055377
-127.7834,47.7095,2400.0,151.76228267926845,128.56209690437166,128.56209690437166
-127.7844,47.7097,2490.0,151.82699113919543,128.45006407250455,128.45006407250455
-127.7853,47.7095,5330.0,151.92530470913294,128.35064361405836,128.35064361405836
-127.7859,47.7097,13100.0,151.9557503302011,128.2831263581744,128.2831263581744
-127.7862,47.7098,4980.0,151.97098453272207,128.24937064528135,128.24937064528135
-127.7848,47.7122,4670.0,151.59826327346283,128.3969929132034,128.3969929132034
-127.7853,47.7105,5670.0,151.82001185443283,128.34701792490876,128.34701792490876
-127.7855,47.7104,13500.0,151.84771428484967,128.32511210709384,128.32511210709384
-127.7864,47.7099,70800.0,151.97763689597951,128.22674611626698,128.22674611626698
-127.7866,47.7093,4220.0,152.05797063707797,128.2067167015813,128.2067167015813
-127.7864,47.7098,19800.0,151.988161214997,128.22711223051485,128.22711223051485
-127.7864,47.71,489000.0,151.96711362890667,128.22638213471217,128.22638213471217
-127.7863,47.7101,21300.0,151.94800112343697,128.23714958779468,128.23714958779468
-127.7864,47.7099,22100.0,151.97763689597951,128.22674611626698,128.22674611626698
-127.7863,47.7099,7980.0,151.9690477950353,128.23787535518852,128.23787535518852
-127.7861,47.7099,12200.0,151.95187058322344,128.26013383443345,128.26013383443345
-127.7864,47.71,7160.0,151.96711362890667,128.22638213471217,128.22638213471217
-127.7864,47.7099,207000.0,151.97763689597951,128.22674611626698,128.22674611626698
-127.7864,47.7098,18300.0,151.988161214997,128.22711223051485,128.22711223051485
-127.7863,47.7097,6210.0,151.99009867432642,128.23860965261503,128.23860965261503
-127.7864,47.71,9600.0,151.96711362890667,128.22638213471217,128.22638213471217
-127.7869,47.709,3460.0,152.11531730760223,128.17447319407708,128.17447319407708
-127.7867,47.7091,2560.0,152.08761589504024,128.19634780751,128.19634780751
-127.7866,47.7096,29400.0,152.02638863148724,128.205592572342,128.205592572342
-127.7865,47.71,7760.0,151.97570365455675,128.21525286466897,128.21525286466897
-127.7864,47.7099,383000.0,151.97763689597951,128.22674611626698,128.22674611626698
-127.7863,47.7099,11500.0,151.9690477950353,128.23787535518852,128.23787535518852
-127.7864,47.71,410000.0,151.96711362890667,128.22638213471217,128.22638213471217
-127.7899,47.7089,2220.0,152.38354553008946,127.84099160768517,127.84099160768517
-127.788,47.7095,2600.0,152.15717289190613,128.0501576647707,128.0501576647707
-127.7879,47.7096,6720.0,152.13806233650368,128.06091376984523,128.06091376984523
-127.7869,47.7099,8110.0,152.02058734879895,128.1710999287348,128.1710999287348
-127.7866,47.7099,5790.0,151.99481608765342,128.20448763984123,128.20448763984123
-127.7881,47.7117,2290.0,151.9346263573171,128.03131459046148,128.03131459046148
-127.787,47.7093,18000.0,152.09231870946084,128.16220052864156,128.16220052864156
-127.7867,47.7095,18700.0,152.0455026278515,128.19483603992285,128.19483603992285
-127.7865,47.7098,57600.0,151.99675005115256,128.2159830238447,128.2159830238447
