lon,lat,q
-83.0,1.0,181.0
127.25,-2.4317,227.0
170.25,-14.8317,209.0
-0.11667,41.41667,185.0
-0.65,38.13333,172.0
-83.5,1.985,220.0
-83.4917,1.2383,190.0
33.72,39.924,206.8
33.79,39.88,217.0
-83.7317,0.2267,219.0
-116.722,31.7209,219.63
-116.667,31.7214,184.44
-116.6545,31.7126,169.03
-116.4842,31.5881,171.75
-116.6528,31.72,178.7
-116.6543,31.7217,178.7
-116.3376,31.7975,178.7
-116.6668,31.7118,175.28
-116.251,32.0734,173.53
-112.3417,46.7167,297.0
-112.3767,46.7533,430.0
-112.3717,46.7467,502.0
-112.3617,46.7383,514.0
-112.35,46.7283,334.0
-112.3867,46.75,389.0
-112.3733,46.7367,518.0
-120.3433,42.155,742.0
-117.1817,43.9317,276.0
-120.3333,42.19,180.0
-117.23,43.9633,221.0
-120.3517,42.215,2861.0
-120.3417,42.2217,309.0
-120.3583,42.2217,991.0
-120.3417,42.1783,189.0
-120.3567,42.22,2882.0
-120.3033,42.035,571.0
-120.3567,42.2133,1895.0
-120.3633,42.235,840.0
-120.365,42.225,531.0
-112.3467,46.7183,372.0
-112.3467,46.72,307.0
-112.3517,46.7183,256.0
-112.3317,46.725,209.0
-112.3167,46.7317,192.0
-112.3167,46.73,187.0
-112.32,46.73,208.0
-112.395,46.7233,192.0
-117.8533,42.7333,205.0
-117.865,42.4183,213.0
-117.0267,43.5933,184.0
-121.9767,44.78,763.0
-121.97,44.78,430.0
-121.971,44.7817,1393.0
-121.971,44.7817,404.0
-120.9933,44.22,176.0
-121.045,44.185,207.0
-121.9617,45.0283,239.0
-122.0083,45.0217,279.0
-118.608,42.3267,292.0
-118.6083,42.3267,305.0
-118.626,42.32,169.0
-118.6267,42.32,187.0
-118.6183,42.3117,451.0
-118.6083,42.3017,292.0
-118.61,42.32,417.0
-118.575,42.3267,197.0
-118.605,42.2833,187.0
-118.611,42.3267,338.0
-118.6317,42.32,187.0
-118.6217,42.3283,212.0
-118.6083,42.3067,435.0
-118.5467,42.3283,233.0
-114.316,44.3983,268.0
-119.445,46.2683,293.0
-121.8033,45.7333,265.0
-111.345,44.1233,355.0
-121.9533,45.6483,189.0
-111.945,42.145,1255.0
-116.11,44.6683,333.0
-116.153,42.25,193.0
-116.013,44.1533,498.0
-111.4483,44.4267,200.0
-111.4367,44.4333,309.0
-112.88,38.4683,443.5
-118.74,41.05,190.2
-112.84,38.4867,188.3
-112.87,38.4433,252.0
-112.91,38.4717,175.7
-112.87,38.4933,589.9
-108.79,31.9517,170.3
-112.9,38.4983,225.0
-112.85,38.4667,506.3
-118.72,41.035,190.6
-112.88,38.53,436.0
-118.74,41.0417,193.6
-118.75,41.0267,172.7
-118.73,41.065,172.9
-115.27,41.2333,301.0
-106.98,34.0017,292.1
-106.98,34.0067,222.6
-106.98,34.0067,314.3
-106.94,34.0667,177.0
-117.98,37.8683,203.0
-106.1,31.955,358.0
-118.97,39.8083,400.5
-118.94,39.8033,174.8
-106.08,31.9867,542.0
-118.93,39.7783,340.3
-118.85,39.795,1409.8
-113.08,38.14,222.2
-117.9,37.87,192.0
-117.9,37.87,243.0
-117.88,37.86,292.5
-117.92,37.8717,191.8
-112.82,38.4933,456.1
-112.89,38.2667,205.0
-112.87,38.4567,1694.0
-117.88,37.8717,385.0
-117.88,37.8533,224.0
-112.57,38.6717,280.0
-112.57,38.6717,539.7
-117.91,37.8783,308.0
-117.89,37.855,175.0
-117.89,37.855,334.6
-107.51,32.56,255.0
-117.89,37.86,294.0
-112.59,38.675,849.4
-112.54,38.62,820.1
-117.91,37.88,490.0
-113.14,38.1483,276.1
-112.88,38.435,251.0
-112.84,38.4933,539.7
-113.19,38.135,251.0
-104.59,30.0167,205.9
-104.58,30.0317,211.7
-104.47,29.8217,178.0
-104.69,30.07,192.0
-104.59,30.1067,184.3
-104.54,29.885,224.0
-104.62,29.8283,390.0
-104.58,30.0283,756.9
-112.75,38.63,217.6
-112.66,38.6283,485.3
-112.66,38.53,171.5
-112.61,38.6583,552.3
-112.6,38.6083,200.8
-112.58,38.5617,925.4
-112.58,38.5617,1192.4
-112.71,38.6617,389.1
-112.69,38.65,439.3
-105.3,30.96,178.6
-112.79,38.485,460.2
-112.61,38.5883,396.2
-112.61,38.5883,209.2
-105.08,30.7083,247.0
-105.08,30.7717,296.4
-105.01,31.0167,170.0
-104.89,30.55,182.0
-105.15,30.7683,395.2
-105.02,31.025,230.0
-104.76,30.4667,269.8
-113.06,38.1633,221.8
-112.62,38.6167,297.1
-112.84,38.5083,1068.2
-112.84,38.5083,928.8
-112.85,38.55,200.8
-117.93,37.9,336.0
-117.9,37.8883,455.0
-117.88,37.89,210.0
-117.92,37.8883,245.0
-107.68,33.7967,255.0
-107.72,33.91,222.0
-117.89,37.8767,504.0
-107.57,34.04,389.0
-117.89,37.8667,350.0
-112.59,38.6483,581.6
-112.56,38.635,748.9
-112.58,38.6233,669.4
-112.6,38.6133,338.9
-112.56,38.5983,623.4
-117.91,37.8833,490.0
-107.68,33.9133,230.0
-117.87,37.85,210.0
-112.61,38.5483,585.8
-117.92,37.9133,504.0
-107.48,34.1183,209.0
-107.54,34.0983,410.0
-107.54,34.0867,264.0
-112.51,38.8317,523.6
-112.66,38.6083,297.1
-112.7,38.6183,242.7
-112.7,38.64,259.4
-113.06,38.1467,485.3
-112.58,38.6767,495.6
-112.56,38.6617,1066.9
-112.55,38.6033,426.8
-112.6,38.5283,171.5
-112.59,38.5483,265.7
-112.56,38.615,891.2
-112.58,38.5767,617.0
-112.56,38.645,313.8
-112.57,38.6033,615.0
-113.35,38.3017,205.0
-113.06,38.115,225.9
-113.1,38.13,313.8
-113.1,38.1267,359.8
-112.69,38.6733,338.9
-113.23,38.415,242.7
-113.22,38.3817,171.5
-117.99,39.6767,708.1
-113.26,38.4167,175.7
-113.26,38.42,175.7
-113.3,38.4467,288.7
-113.3,38.4517,272.0
-112.65,38.64,343.0
-112.87,38.51,203.0
-112.86,38.52,343.0
-112.91,38.435,259.4
-117.83,39.235,203.8
-113.14,38.14,221.8
-113.07,38.19,368.2
-113.14,38.1667,238.5
-118.15,39.5,352.4
-118.0,39.57,507.5
-113.19,38.1833,598.3
-113.19,38.1683,422.6
-118.49,39.3867,170.7
-112.69,38.625,184.1
-112.6,38.6567,322.2
-112.61,38.68,615.0
-112.66,38.61,573.2
-112.66,38.61,536.2
-112.67,38.6583,493.7
-112.72,38.6333,359.8
-112.63,38.6517,702.9
-112.67,38.64,497.9
-117.98,40.0967,341.1
-118.38,39.5033,270.1
-118.24,39.8017,249.5
-113.65,37.9367,180.0
-113.28,38.4333,305.4
-113.63,37.9383,640.0
-112.5,38.9083,179.9
-112.83,38.5033,246.9
-112.83,38.4867,209.2
-112.84,38.4883,288.7
-113.32,38.4683,334.7
-113.29,38.4283,418.4
-117.15,39.8967,540.0
-117.15,39.88,506.0
-117.15,39.885,552.0
-117.14,39.8967,418.4
-117.14,39.9033,427.0
-117.13,39.905,364.0
-117.14,39.8983,326.0
-118.56,38.2767,280.0
-117.99,40.0517,234.0
-117.14,39.89,527.0
-117.15,39.8883,331.0
-111.68,44.0433,268.0
-111.54,43.955,280.0
-111.58,43.925,552.0
-111.58,43.9233,418.0
-111.57,43.9233,326.0
-111.54,43.91,209.0
-111.47,43.9867,247.0
-111.56,43.955,301.0
-111.58,43.935,628.0
-111.55,43.9083,485.0
-111.56,43.885,209.0
-111.54,43.9,314.0
-111.53,43.9017,335.0
-119.57,43.3267,276.1
-119.67,43.3517,338.9
-118.13,39.5433,210.7
-118.13,39.5433,768.4
-118.12,39.545,317.7
-118.13,39.5567,200.7
-118.13,39.5567,200.7
-118.13,39.5567,756.5
-118.15,39.55,201.9
-118.15,39.55,374.7
-118.15,39.55,923.3
-118.15,39.54,623.5
-118.14,39.5317,1069.2
-118.14,39.5217,1161.2
-118.15,39.5267,769.1
-118.16,39.5317,283.9
-118.17,39.5233,213.4
-118.16,39.5133,462.4
-118.16,39.5133,791.1
-118.16,39.5033,268.2
-118.16,39.5033,552.4
-118.16,39.5033,596.6
-118.16,39.495,216.9
-118.12,39.4917,169.3
-118.12,39.4917,345.3
-118.15,39.505,436.1
-118.15,39.505,984.3
-118.15,39.515,551.8
-118.15,39.515,1081.4
-118.13,39.5217,1223.2
-118.12,39.5167,550.2
-118.11,39.51,555.3
-118.09,39.5017,804.2
-118.12,39.5083,212.8
-118.12,39.5083,260.8
-118.14,39.4883,944.3
-118.14,39.4783,235.6
-118.14,39.4783,655.0
-118.16,39.5083,335.0
-118.16,39.5083,349.0
-118.16,39.5067,407.4
-118.16,39.5067,387.4
-118.7,41.0783,172.9
-118.66,41.0883,172.9
-118.71,41.06,191.9
-118.72,41.0467,191.9
-118.72,41.0233,172.9
-118.71,41.0683,190.2
-118.68,41.0817,186.2
-118.67,41.0667,172.9
-118.71,41.05,191.9
-118.69,41.0717,190.4
-118.68,41.075,190.4
-118.23,39.4233,250.7
-118.24,39.425,639.9
-118.25,39.4317,608.0
-118.26,39.4333,479.3
-118.26,39.435,345.6
-118.27,39.4383,190.8
-118.26,39.4167,366.1
-118.26,39.4167,312.9
-118.26,39.4183,374.6
-118.26,39.425,269.3
-118.24,39.415,513.4
-118.24,39.415,406.6
-118.24,39.415,549.4
-118.23,39.4133,446.7
-118.23,39.3967,199.4
-118.24,39.395,246.7
-118.25,39.4033,279.3
-118.25,39.4083,225.8
-118.25,39.4,195.1
-118.25,39.395,223.3
-118.25,39.3883,191.6
-112.84,38.5117,627.2
-119.41,40.4233,622.4
-119.4,40.42,254.8
-119.4,40.37,366.8
-119.4,40.36,311.5
-119.41,40.36,401.9
-119.36,40.3533,462.8
-119.4,40.35,180.5
-119.4,40.3967,5832.0
-119.4,40.3967,1901.8
-119.41,40.4017,1575.0
-119.4,40.4033,262.1
-119.4,40.4083,5374.8
-112.85,38.4917,1104.6
-112.87,38.48,354.0
-112.87,38.48,294.0
-112.84,38.4933,2984.8
-112.61,38.58,185.0
-112.61,38.58,380.0
-112.86,38.485,603.4
-112.86,38.485,1114.4
-118.55,39.5267,345.8
-112.86,38.4783,560.0
-119.22,39.905,380.4
-119.1,39.955,191.1
-119.07,39.9567,254.8
-119.04,39.9633,218.4
-119.25,39.9633,327.6
-119.01,39.97,196.6
-119.05,39.97,318.5
-119.02,39.9783,262.1
-119.02,39.9817,262.1
-119.03,39.985,294.8
-119.05,39.985,318.5
-119.03,39.9883,294.8
-119.02,39.9883,294.8
-119.01,39.99,262.1
-119.05,40.0,318.5
-113.82,32.9167,205.0
-112.5,38.915,295.4
-117.67,37.8967,247.0
-118.05,37.86,1381.0
-118.06,37.8783,220.0
-118.01,37.87,603.0
-118.02,37.8733,206.8
-118.02,37.8733,516.0
-118.06,37.855,184.4
-118.06,37.855,203.0
-118.05,37.8683,884.0
-118.05,37.8683,971.0
-117.98,37.8467,205.0
-118.06,37.8567,1019.0
-118.0,37.8867,235.0
-118.06,37.8483,420.0
-118.04,37.87,551.0
-118.03,37.8617,768.0
-118.05,37.855,613.0
-119.15,38.7583,351.6
-119.4,40.4067,356.7
-118.55,39.5433,671.9
-112.56,38.6067,394.0
-119.4,40.3917,2918.0
-118.7,41.9333,238.2
-118.7,41.9333,3193.6
-119.4,40.3917,1397.6
-118.37,40.28,518.1
-119.4,40.4033,5446.4
-118.56,39.56,292.8
-118.56,39.56,735.7
-119.41,40.4133,8420.4
-119.4,40.4133,3670.4
-118.14,39.5433,753.1
-118.15,39.495,627.6
-118.15,39.495,460.2
-118.14,39.5233,171.5
-118.14,39.5233,585.8
-118.13,39.5,200.8
-118.16,39.48,184.1
-118.09,39.76,1258.7
-119.39,40.4133,1563.7
-116.61,40.5533,391.0
-117.69,37.9133,246.6
-118.54,39.56,206.7
-119.95,43.545,203.8
-119.95,43.545,171.0
-121.29,43.735,208.6
-119.41,40.4433,262.0
-117.67,37.9117,219.0
-117.67,37.9117,309.5
-112.86,38.46,418.0
-112.86,38.46,189.0
-118.55,39.5583,234.3
-119.39,40.3567,211.0
-117.64,37.89,196.5
-117.64,37.89,257.1
-119.4,40.43,229.2
-117.68,37.9117,212.8
-112.54,38.5983,407.5
-119.4,40.435,206.3
-118.17,39.5233,217.6
-118.16,39.5133,184.2
-118.16,39.5133,632.0
-118.14,39.495,1151.6
-118.14,39.495,1026.7
-118.15,39.505,805.9
-118.14,39.4883,1052.9
-112.57,38.6033,267.6
-112.57,38.5633,1055.5
-119.41,40.4567,222.0
-118.24,39.425,659.9
-118.04,37.8833,212.4
-118.04,37.8833,379.8
-118.26,39.4183,399.6
-118.26,39.4183,333.4
-118.24,39.415,647.3
-118.24,39.415,364.4
-118.24,39.415,529.9
-112.85,38.49,541.8
-118.25,39.4083,216.2
-118.25,39.4083,215.5
-119.39,40.335,178.4
-117.9,39.9467,173.3
-117.9,39.9467,240.4
-119.43,40.34,189.2
-113.57,39.3133,184.0
-119.4,40.3767,1674.4
-119.41,40.4167,258.4
-119.42,40.345,203.8
-119.41,40.3917,1820.0
-119.42,40.3617,455.0
-119.44,40.38,1528.8
-119.44,40.3883,1019.2
-119.44,40.3917,1820.0
-106.67,35.8167,1381.0
-106.65,35.8,377.0
-106.67,35.7617,192.0
-106.68,35.73,259.0
-106.63,35.875,1213.0
-106.63,35.855,460.0
-106.64,35.845,795.0
-106.65,35.7517,243.0
-106.61,35.825,264.0
-119.4,40.3433,225.6
-119.39,40.3667,200.2
-118.03,39.81,194.2
-119.39,40.3583,189.2
-119.41,40.3317,216.9
-112.57,38.5683,492.5
-119.4,40.3883,491.4
-119.39,40.3833,446.4
-118.38,40.2233,1184.9
-119.39,40.3833,204.8
-118.72,41.9033,197.0
-117.66,37.8767,175.6
-119.4,40.375,632.2
-117.84,39.9867,674.7
-119.39,40.375,229.3
-112.57,38.575,868.1
-119.39,40.39,176.9
-118.06,39.8067,509.6
-118.04,39.8017,249.2
-119.4,40.3833,1870.2
-119.39,40.4133,345.8
-113.07,38.1317,183.8
-112.87,38.45,240.0
-112.87,38.45,345.6
-119.39,40.375,235.8
-112.85,38.4933,856.8
-117.67,37.9067,1189.6
-117.89,39.9367,188.0
-112.53,38.6017,656.4
-116.15,41.4783,543.0
-112.86,38.4667,2448.0
-118.65,39.35,382.2
-121.27,43.7533,262.4
-116.59,40.565,198.4
-117.81,40.0017,236.5
-121.97,45.03,287.0
-118.64,39.3817,840.9
-118.6,39.3267,623.4
-118.6,39.3267,238.5
-118.56,39.3133,246.9
-118.58,39.3067,3213.3
-118.58,39.3017,268.8
-118.58,39.3017,3464.4
-118.59,39.3583,581.6
-118.53,42.5167,197.0
-118.59,39.3267,2719.6
-118.58,39.3167,318.0
-118.58,39.3167,1422.6
-118.58,39.3167,3410.0
-118.56,39.305,326.4
-118.56,39.305,527.2
-118.58,39.3567,3037.6
-118.35,42.68,247.0
-118.53,42.5517,192.0
-118.53,42.535,192.0
-118.53,42.535,301.0
-118.53,42.535,490.0
-118.54,42.5467,2297.0
-118.54,42.5467,259.0
-118.6,39.3383,464.4
-118.6,39.3383,857.7
-118.6,39.3383,2016.7
-118.56,39.3667,1012.5
-118.58,39.3633,410.0
-118.61,39.3717,188.3
-118.56,39.295,866.1
-118.57,39.2933,962.3
-118.57,39.2933,3221.7
-118.57,39.2867,2326.3
-118.58,39.2883,723.8
-118.58,39.2883,1472.8
-118.59,39.2933,1974.8
-118.55,42.5517,297.0
-118.55,42.5517,335.0
-118.55,42.5517,862.0
-118.54,42.5483,297.0
-118.6,39.3167,234.3
-118.54,42.5483,481.0
-118.54,42.5483,649.0
-118.54,42.5483,414.0
-118.54,42.5483,686.0
-118.6,39.3067,326.4
-118.6,39.3067,514.6
-118.58,39.2967,1481.1
-118.58,39.2967,2694.5
-118.35,42.6783,1000.0
-118.35,42.6783,377.0
-118.35,42.6783,389.0
-118.35,42.68,695.0
-118.54,42.55,1008.0
-118.54,42.55,1410.0
-118.54,42.555,653.0
-118.54,42.555,1803.0
-118.54,42.555,485.0
-118.53,42.56,782.9
-118.55,42.555,310.0
-118.55,42.555,569.0
-118.55,42.555,477.0
-117.21,43.77,210.5
-117.19,43.7217,243.9
-117.2,43.705,280.7
-117.2,43.6933,228.4
-112.86,38.5117,459.2
-117.68,37.915,326.0
-116.61,40.56,892.4
-116.17,41.47,481.0
-116.17,41.4867,318.0
-116.19,41.4417,223.0
-116.23,41.475,202.0
-116.17,41.385,197.0
-116.18,41.4183,310.0
-116.09,41.4717,220.0
-116.09,41.5067,389.0
-116.11,41.5083,186.0
-116.07,41.47,173.0
-116.17,41.435,224.0
-116.1,41.4817,288.0
-116.17,41.4867,338.0
-116.13,41.48,195.0
-116.1,41.4483,308.0
-116.16,41.5033,498.0
-116.14,41.5167,182.0
-116.22,41.51,265.0
-116.15,41.4517,233.0
-116.23,41.5033,174.0
-116.12,41.4633,385.0
-116.15,41.4767,434.0
-116.1,41.4917,232.0
-116.15,41.465,1436.0
-116.14,41.4783,234.2
-116.14,41.4783,1018.0
-116.15,41.4817,2054.0
-121.29,43.74,191.8
-117.52,39.7983,557.0
-117.48,39.87,635.0
-117.5,39.875,343.0
-117.52,39.8783,288.0
-117.49,39.8967,279.0
-117.47,39.8083,184.5
-117.49,39.9033,653.8
-117.51,39.8917,170.1
-117.53,39.875,428.4
-117.49,39.8,409.0
-117.51,39.8533,381.2
-117.51,39.8333,315.8
-117.5,39.8183,512.0
-117.49,39.8133,427.7
-117.52,39.7933,485.1
-117.5,39.785,648.9
-117.49,39.7933,267.4
-117.5,39.7683,271.6
-117.53,39.7683,220.2
-117.54,39.79,189.0
-117.5,39.8833,181.3
-117.49,39.8533,270.0
-117.51,39.8433,493.0
-117.62,39.74,237.0
-117.59,39.7217,175.0
-117.53,39.815,222.7
-117.49,39.8683,1117.6
-117.49,39.865,413.0
-117.49,39.8667,238.0
-117.53,39.835,306.0
-117.46,39.8517,669.0
-117.66,37.9083,361.8
-117.66,37.9083,723.6
-118.05,37.86,1274.0
-121.29,43.7433,238.4
-118.07,39.7833,1356.0
-118.07,39.795,2790.0
-117.99,39.71,259.4
-117.99,39.71,439.9
-118.02,39.6617,432.5
-118.02,39.6617,1773.5
-118.04,39.67,186.0
-118.0,39.6917,182.0
-118.0,39.6917,342.0
-118.0,39.6917,424.0
-118.0,39.6917,206.9
-117.99,39.6767,252.0
-117.99,39.6767,912.0
-117.99,39.6767,401.3
-106.67,35.8167,1297.0
-106.68,35.86,176.0
-106.68,35.8083,322.0
-106.69,35.7883,264.0
-106.69,35.7767,364.0
-106.69,35.7633,255.0
-106.65,35.8283,460.0
-118.92,40.22,366.9
-118.93,40.2,333.8
-118.93,40.22,193.6
-118.9,40.2167,425.5
-118.92,40.2283,234.4
-118.95,40.25,183.5
-118.94,40.1717,183.5
-112.51,46.0217,186.2
-119.4,40.3683,277.6
-121.3,41.72,544.0
-121.76,42.23,3526.4
-121.76,42.2267,540.0
-119.36,40.68,222.0
-113.4,42.0933,376.3
-119.02,39.7867,6023.6
-119.34,40.8817,326.0
-119.33,40.8717,502.0
-113.45,42.07,576.9
-113.44,42.0767,2660.0
-119.01,39.76,1209.1
-113.55,42.0783,460.5
-119.01,39.7967,5693.6
-119.0,39.8083,7609.8
-116.59,40.5683,520.0
-119.39,40.6467,565.0
-119.02,39.7817,2763.2
-113.45,42.0667,6176.5
-119.01,39.775,7730.8
-113.45,42.0667,4906.5
-118.55,39.5633,510.0
-118.55,39.595,238.0
-118.53,39.5117,310.0
-113.51,42.0633,286.9
-116.6,40.5633,2100.0
-113.47,42.065,327.1
-116.61,40.5667,280.0
-119.37,40.6467,318.0
-116.57,40.5833,220.0
-119.38,40.6567,218.0
-113.42,42.0867,971.3
-119.02,39.8117,568.0
-119.39,40.6517,418.0
-113.42,42.0817,6037.5
-113.43,42.0817,5832.8
-116.59,40.575,820.0
-119.02,39.775,612.9
-113.53,42.0617,5250.0
-116.54,40.58,310.0
-119.34,40.7817,502.0
-113.51,42.055,1361.1
-118.07,39.6717,257.0
-118.59,42.3267,293.0
-118.62,42.3183,188.0
-118.6,42.3133,402.0
-118.6,42.3,293.0
-118.64,39.38,800.1
-118.6,39.3267,211.4
-117.23,43.98,577.4
-117.23,43.98,292.2
-118.02,39.8467,1244.4
-118.82,38.3517,305.8
-118.92,40.225,197.8
-117.5,40.7733,350.0
-116.61,40.57,325.0
-116.62,40.5633,261.3
-116.6,40.5633,378.3
-119.01,39.7867,316.8
-116.61,40.56,293.8
-118.95,39.7533,764.4
-116.6,40.56,385.6
-118.92,39.76,209.0
-116.61,40.5583,237.5
-116.61,40.5583,391.5
-116.6,40.56,2932.5
-116.59,40.5817,190.1
-116.62,40.555,225.9
-119.02,39.79,4206.4
-116.6,40.5567,354.5
-116.6,40.5567,383.5
-116.59,40.5583,861.2
-116.61,40.5533,173.6
-116.6,40.5533,358.4
-116.59,40.555,280.3
-119.02,39.79,1578.1
-116.6,40.5517,1237.6
-116.58,40.5533,598.2
-116.62,40.545,242.0
-119.02,39.79,3271.4
-116.61,40.5467,280.0
-116.61,40.55,295.6
-119.01,39.79,1124.2
-119.01,39.79,2741.2
-119.4,40.3683,1927.8
-119.01,39.79,237.6
-116.57,40.5733,191.9
-106.61,35.91,258.5
-106.58,35.8867,780.0
-106.57,35.895,350.0
-106.59,35.8767,189.8
-106.57,35.895,780.0
-106.58,35.8833,780.0
-106.58,35.8933,561.6
-106.57,35.9017,177.5
-106.57,35.9017,467.5
-106.58,35.8933,780.0
-106.6,35.9217,180.0
-106.6,35.9217,936.0
-106.57,35.895,561.6
-106.57,35.8983,561.6
-106.57,35.8967,561.6
-106.58,35.8867,592.8
-106.61,35.9117,436.8
-106.57,35.89,780.0
-106.58,35.88,780.0
-106.58,35.8883,780.0
-106.59,35.94,180.0
-106.59,35.94,936.0
-121.98,44.7817,879.0
-116.18,43.6167,2637.2
-116.18,43.6167,307.0
-104.57,30.02,638.0
-104.57,30.0383,173.7
-116.59,40.5633,4200.0
-116.59,40.56,1400.0
-116.89,40.51,179.7
-116.92,40.5533,303.0
-117.18,40.8317,221.1
-117.24,40.7933,434.1
-117.0,40.82,365.7
-116.72,40.6617,172.9
-116.53,40.6217,233.4
-116.65,40.7617,188.4
-116.9,40.8617,212.9
-117.56,40.5433,183.3
-116.62,40.97,253.9
-117.28,40.9233,289.5
-117.37,40.8033,273.9
-117.56,40.5483,200.4
-117.23,40.9933,484.8
-116.86,40.9433,339.8
-113.14,38.15,255.0
-117.17,40.9633,181.5
-117.14,40.9133,580.3
-116.77,40.6033,231.6
-116.54,40.48,195.2
-116.48,40.3267,190.0
-116.45,40.485,195.3
-118.14,40.9883,1850.0
-116.98,40.5383,172.0
-116.9,40.595,268.2
-116.86,40.5533,204.8
-116.81,40.94,224.2
-116.63,40.995,239.1
-116.86,40.9583,189.3
-116.78,40.915,335.8
-116.7,40.91,243.9
-116.62,40.9333,183.5
-118.13,40.9983,1187.7
-117.06,40.4217,276.6
-118.12,40.995,1272.8
-118.12,40.995,1613.2
-118.12,40.9983,1369.0
-118.12,40.9967,1639.1
-118.12,40.9983,1794.5
-117.35,40.2233,170.4
-118.15,40.975,314.5
